DOK_TYPE;AutoGen
Advisering - Uafviklet handel;0		
Advisering af manuel renteændri;0		
Advisering om ny basisrentesats;0	
Afregningsnota;1		
Afslag nedskrivning;1		
Aftale om eArkiv;0		
Aftale om finansiering;0		
Aftale om Nem Konto;0		
Aftale om NemKonto overførsel;0		
Aftale om rentenetting;0		
Aftale om tilslutning;0		
Aftalebevis;0		
Aftalekonto - afvikling;1		
Aftalekonto, afvikling;1		
ANDELSBOLIGBOGEN - Ejerpantebrev;0		
Annullering aftale konto;0		
Arb. erklæring - Letsikring af indtægt ved pension;0		
Arbejdsgaranti;0		
Bank Connect Udvekslingsaftale;0		
BBR-ejermeddelelse;0		
Bekræftelse af FX/MM eller Derivatforretninger;0
Bekræftelse aftalekonto;0
Bekræftelse på begrænset handelsadgang;0		
Beregningskladden;0		
Bevilget nedskrivning;0		
Bevis for oprettelse af Etableringskonto;0		
Bevis for oprettelse af indkomstudligningskonto;0
Bevis for oprettelse af iværksætterkonto;0
Bevis for oprettelse af konjunkturudligningskonto;0
Bilag til låneaftale, BRFkredit;0
Bokslejekontrakt døgnboks;0
Bokslejekontrakt kundeboks;0	
Bokslejekontrakt ophæv;0
Bolig;0
Brev fra banken;1
Brev til arbejdsgiveren;0
Brev vedr. IBAN-nr.;0
BRF - BEC dokumenter;0		
Brugeroversigt;1
Byggekredit;0
Børneopsparing - aftale;0
Børneopsparing - regler;0	
Controllingrapport - Rådighedsberegner;0
Darwin aftale;0
Deklaration F - motorkøretøjer;0
Deklaration L;0
Depotaftale;0
Depotmeddelelse - nytegning;1
Depotmeddelelse - rente udenlandske obl.;1
Depotmeddelelse - Tilbageførsel rente;1
Depotmeddelelse - Tilbageførsel udbytte;1		
Depotmeddelelse - tilbud eller information;1		
Depotmeddelelse - udbytte udenlandske aktier;1		
Depotmeddelelse - Udenlandske værdipapirer;1
Depotmeddelelse - udtrækning udenlandske obl.;1		
Depotregler;1
Depotudskrifter;1		
Digital overførselsanmodning;1
Dokument til underskrift;0
eArkiv pdf prototype;1
Ejendomsskattebillet;0	
Ejerpantebrev - Bil;0	
Ejerpantebrev - Bilbogen;0		
Ejerpantebrev - Ejendom;0		
Ejerpantebrev - Tingbogen;0		
Elektronisk underskrift test med cprnr tilknytning;0		
Elektronisk underskrift test uden cpr tilknytning;0		
Elinstallationsrapport;0		
Elinstallationsrapport fælles;0		
Energimærke;0		
Erklæring ved opgørelse;1		
Erklæring ved udbetaling;1		
Europæisk Standard informationsark, BRFkredit;1		
Europæisk standardiseret informationsark (ESIS);1		
Faktaark;0		
Forbrugerkreditoplysninger - Bilag II;0
Forbrugerkreditoplysninger - Bilag III;0	
Forlængelsesbrev;0
Forretningsbetingelser;0		
Forsik.vilkår - Letsikring af indtægt ved pension;0
Forsikringsbetingelser;0
Fortrydelse af aftale;0	
Forudsætninger;0
Forudsætninger - Letsikring af indtægt ved pension;0
Fuldmagt;0
Fuldmagt - konti og depoter;0
Fuldmagt til skift af pengeinstitut;0
Fysiske effekter;0
Garanti for restkøbesum;0
Garanti Trafikstyrelsen;0	
Garanti, nybygget ejendom;0		
Garanti, nybygget ejendom - egen grund;0
Gebyrkvittering;1
Gebyrnota;1
Gebyrnota - Flytning af udenlandske værdipapirer;1
Gebyrnota - kreditnota;1
Generel garanti;1
Generelle regler for pension;0		
Gældsbrev;0
Gældsbrev med kaution;0
Hvad kan du trække fra vi skat, når du låner penge;1
Indefrosne ejendomsskatter;0
Indfrielseskvittering - uspecificeret;0
Indfrielsestilbud;0
Indskydergaranti - oplysningsskema;1
Information om handelsadgange;1
Information om risikomærkning;1	
Information til pantsætter;1
Internt følgebrev ovf. andet PI/forsikringsselskab;1
Investeringskvittering;1
Jyske Aftaler;0
Kapitalpension arbejdsgiver kontrakt;0
Kapitalpension privat kontrakt;0
Kategoriseringsinformation;1
Kautionserklæring;0
Kautionsforpligtelser;0
Kombidokument;0
Kommunalt oplysningsskema;0
Koncernskema;0
Kontobetingelser;1		
Kontoudskrift;1		
Kontrakt - Aldersopsparing arbejdsgiver;0
Kontrakt - Aldersopsparing privat;0
Korrespondance;0
Kreditaftale;0	
Kreditaftale med kaution
Kreditsag beslutningsgrundlag		
Kundebrev inkl. egenerklæring - Dansk selskab		
Kundebrev inkl. egenerklæring - Udenlandsk selskab		
Købsaftale scannet		
Legitimation		
Lejekontrakt		
Lokalplan		
Låneaftale, BRFkredit		
Låneansøgning		
Låneguide - boliglån		
Låneindstilling		
Markedsværdiopgørelse Jyske Bank		
Meddelelse		
Meddelelse om kontonr.		
Midlertidig trækningsret		
Mødeforberedelse om handelsadgang		
NemID er klar til brug		
Nemkonto advisering		
Netbank - systemet klar til brug		
Netbank-bruger fylder 18 år		
Nota vedr. fondshandel aktier og obligationer		
Nota vedr. garanti		
Nota vedr. lån		
Off. ejd. vurdering		
Om betaling fra vores samarbejdspartnere		
Opgørelse aldersopsparing		
Opgørelse kapitalpension		
Opgørelse ratepension		
Opgørelsesnota		
